repeat
5
5
5
5
4
5
5
5
5
4
5
5
5
5
4
5
5
5
5
4
5
5
5
5
4
4
2
2
2
2
3
3
4
624
624
624
624
624
624
624
624
197
68
197
68
128
128
128
128
5
5
4
5
5
4
5
5
4
5
5
4
5
5
388
388
388
388
624
624
624
624
40
40
40
40
12
12
12
12
2
2
71
45
3
1
17
12
71
388
388
388
388
12
12
12
12
32
32
32
32
624
624
624
624
624
624
624
624
32
32
32
32
624
624
624
624
292
292
292
292
624
624
624
624
292
292
292
292
4
3
38
26
17
12
71
45
38
15
15
12
15
15
12
15
15
12
15
15
12
15
15
50
50
50
40
50
50
50
40
50
50
50
40
50
50
50
40
50
50
50
32
32
32
32
624
624
624
624
624
624
624
624
228
228
228
228
10
10
9
10
10
9
10
10
9
10
10
9
10
10
9
10
10
9
10
10
9
10
10
9
10
10
9
10
10
5
5
4
5
5
4
5
5
4
5
5
4
5
5
228
228
228
228
388
388
388
388
292
292
292
292
292
292
292
292
38
3
1
1
26
26
22
26
26
22
14
14
14
14
14
14
26
26
22
26
26
22
14
14
14
14
14
14
26
26
22
26
26
388
388
388
388
292
292
292
292
292
292
292
292
388
388
388
388
197
197
197
197
10
10
10
9
10
10
10
9
10
10
10
9
10
10
10
9
10
10
10
9
10
10
10
9
10
10
10
9
10
10
10
9
10
10
10
9
10
10
10
388
388
388
388
2
2
2
2
4
4
4
4
4
228
228
228
228
388
388
388
388
388
388
388
388
388
388
388
388
5
5
5
4
5
5
5
4
5
5
5
4
5
5
5
4
5
5
5
228
228
228
228
50
50
50
40
50
50
50
40
50
50
50
40
50
50
50
40
50
50
50
128
128
128
128
624
624
624
624
16
16
16
16
197
197
197
197
128
128
128
128
624
624
624
624
197
197
197
197
71
45
12
8
