repeat
50
1
1
1
1
1
10
1150
15
6
5
1
1
1
2
1
135
1
870
770
1
40
1
3
15
2
3
5
2
1
5
10
5
14
5
1
8
50
80
50
1
2
1
2
2
4
1
1
1
5
5
30
1
5
5
2
165
1
8
65
8
1
1
2
1
1
5
5
2
1
5
1
1
5
80
1
4
15
1
2
2
15
1
15
60
10
1
10
5
180
1
1
2
1
1
50
180
180
1
60
1
40
1
1
5
1
1
10
100
1
3
1
10
4
3
1
2
1
1
1
1
1
15
1
1
1
5
1
120
1
5
2
1
1
1
1
1
1
30
5
1
1
1
1
1
1
1
1
5
10
200
2
640
5
5
1
1
15
2
6
5
35
5
5
2
1
10
2
40
1
1
1
221
2
75
140
1
