repeat
2
136
35
5
1
10
20
36
75
20
165
30
9
125
20
48
50
310
5
20
24
1
5
5
80
5
1
2
64
80
5
5
5
5
80
50
120
15
10
5
5
3
10
5
10
1
10
10
370
1
5
10
10
5
3
1
40
5
5
35
10
260
40
40
1
20
15
5
60
20
48
20
10
36
5
65
40
1
3
40
5
80
60
2
160
20
5
24
2
1
325
35
5
5
1
5
290
2
5
10
40
40
1
35
5
10
35
5
1
1
10
1
5
25
10
5
90
5
60
80
256
60
5
10
60
20
20
10
10
5
20
5
1
20
5
170
1
20
10
3
5
5
3
5
5
18
140
80
25
3
5
10
5
5
220
36
40
20
20
15
15
2
20
140
5
90
120
5
1
545
105
5
1
10
24
24
10
1
10
50
5
48
1
5
140
1
30
65
10
48
50
5
1
1
5
10
3
20
5
10
10
1
15
5
1
40
10
290
35
10
256
2
120
10
5
5
30
20
24
10
1
40
10
48
40
10
50
80
3
20
220
20
10
35
5
15
1
24
1
10
100
10
1
5
10
44
5
16
1
40
25
25
140
20
1
80
15
35
10
5
5
10
95
10
1
5
20
10
5
10
36
50
196
10
85
5
545
170
5
3
1
35
1
25
140
80
1
40
85
10
60
20
10
50
1
50
5
2
15
20
2
60
25
5
180
20
10
5
6
40
18
10
140
1
30
20
20
5
10
145
45
10
140
5
10
5
3
3
15
3
120
40
60
5
5
1
5
15
48
1
2
5
50
5
65
3
1
20
5
5
20
220
10
5
5
35
40
15
20
4
1
10
25
15
25
30
9
20
20
5
36
10
20
2
25
5
44
75
15
10
20
1
25
1
24
1
5
10
20
136
5
1
1
5
20
5
1
10
10
45
5
1
1
10
5
20
50
35
10
330
30
1
40
30
40
60
5
220
40
10
1
5
10
5
1
5
1
40
1
35
75
34
1
1
20
5
20
120
5
60
5
10
1
20
40
1
