repeat
1
1
2
2
2
1
1
1
135
5
480
1
1496
20
168
1
5
30
1
510
10510
8815
170
149
16
1
2
2
1
1
660
5
1
70
42
210
2
85
1
636
1
6580
2
1
1445
1194
5
1
5
1
3860
15
2
510
2
12509
90
15
